COD_BARRAS;PRODUTO_ID;NOMEORDER;FORNECEDOR;LOCALIZACAO;TRIBUTACAO;NCM;ALIQUOTA_NCM;CST_PIS;CST_COFINS;NATUREZA_RECEITA_PIS_COFINS;PADRAO_COMISSAO;DESCONTO_MAXIMO;QUANTIDADEORDER;TABELA;VENDA;PROMOCAO;VALOR_ULT_COMPRA;MARGEM;TOTAL_PRVENDA;TOTAL_PRPROMOCAO;TOTAL_PRCOMPRA
7896523206905;15425;OMEPRAMED (OMEPRAZOL) 20 MG CX C/28 CPR;CIMED;;ST;30039079;32,09;04;04;002;0;10;0;;25,6000003814697;7;1,69944441318512;311,899321077558;0;0;0
7896523206325;12784;OMEPRAMED 20 MG C/14;CIMED;;ST;30039079;0;04;04;002;0;10;0;;23,0699996948242;0;9,98999977111816;130,930933166999;0;0;0
7896658004346;22098;OMEPRAMIX C/14;ACHE;;ST;30049099;26,33;04;04;002;0;10;0;267,41;267,410003662109;0;68,9800033569336;287,663077194139;0;0;0
7896658004360;22097;OMEPRAMIX C/28;ACHE;;ST;30049099;26,33;04;04;002;0;10;0;198,38;198,380004882813;0;69,5100021362305;185,397782745012;0;0;0
7896658004308;13806;OMEPRAMIX C/7;ACHE;;ST;30049099;26,33;04;04;002;0;10;0;;92,8099975585938;0;67,1399993896484;38,2335394731968;0;0;0
7891058556037;7812;OMEPRASEC 10MG CAP GEL CT FR PLA OP;SANOFI-AVENTIS  FARMACEUTICA LTDA;;ST;30049012;0;04;04;002;0;10;0;;42,3800010681152;0;30,6599998474121;38,2257054110598;0;0;0
7891058161033;7869;OMEPRASEC 20MG CAP GEL CT FR PLA OP;SANOFI-AVENTIS  FARMACEUTICA LTDA;;ST;30049012;0;04;04;002;0;10;0;;72,3099975585938;0;52,310001373291;38,2335990446266;0;0;0
7891058557003;7813;OMEPRASEC 20MG CAP GEL FR PLA OPC X;SANOFI-AVENTIS  FARMACEUTICA LTDA;;ST;30049012;0;04;04;002;0;10;0;;41,6199989318848;0;30,1100006103516;38,2264964736539;0;0;0
7891058165024;8005;OMEPRASEC 40MG CAP GEL CT PLAS;SANOFI-AVENTIS  FARMACEUTICA LTDA;;ST;30049012;0;04;04;002;0;10;0;;70,2600021362305;0;50,8300018310547;38,2254566304284;0;0;0
;10191;OMEPRAZIN 10MG FR C/14 CAPS;EMS;;ST;30049069;0;04;04;002;0;10;0;;14,9899997711182;0;10,8500003814697;38,1566750607583;0;0;0
7895296211345;35156;OMEPRAZOL;NOVA QUIMICA;;ST;30049069;0;04;04;002;0;10;0;37,64;37,6399993896484;0;13,8599996566772;171,572873896248;0;0;0
7895296211314;35152;OMEPRAZOL;NOVA QUIMICA;;ST;30049069;32,09;04;04;002;0;10;0;;18,7999992370605;0;7,67999982833862;144,791662204079;0;0;0
7895296211383;35153;OMEPRAZOL;NOVA QUIMICA;;ST;30049069;0;04;04;002;0;10;0;;48,2999992370605;0;22,8299999237061;111,56372929685;0;0;0
7896004703282;33687;OMEPRAZOL;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;35,03;35,0299987792969;0;22,8400001525879;53,3712720896274;0;0;0
7896004701967;33688;OMEPRAZOL;EMS GENERICO;;ST;30049069;32,09;04;04;002;0;15;0;34,61;34,6100006103516;0;44,7599983215332;-22,6764926090238;0;0;0
7896004706856;33692;OMEPRAZOL;EMS GENERICO;;ST;30049069;32,09;04;04;002;0;15;0;75,16;75,1600036621094;0;22,7900009155273;229,793772017364;0;0;0
7896422504362;34469;OMEPRAZOL;MEDLEY GENERICOS;;ST;30049069;26,33;04;04;002;0;15;0;32,28;32,2799987792969;0;22,9599990844727;40,5923347842254;0;0;0
7896422504614;34471;OMEPRAZOL;MEDLEY GENERICOS;;ST;30049069;32,09;04;04;002;0;15;0;43,46;43,4599990844727;0;22,8899993896484;89,8645707440543;0;0;0
7896004718538;33686;OMEPRAZOL;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;;91,1100006103516;0;54,4599990844727;67,2971027212675;0;0;0
7896004718545;33689;OMEPRAZOL;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;;144,389999389648;0;86,3199996948242;67,2729377897648;0;0;0
7896004718552;33691;OMEPRAZOL;EMS GENERICO;;ST;30049069;0;04;04;002;0;15;0;;294,220001220703;0;175,910003662109;67,2559803852005;0;0;0
7896112148715;30806;OMEPRAZOL;TEUTO - LABORATORIO TEUTO BRASILEIRO S/A;;ST;30049069;32,09;04;04;002;0;15;0;31,28;31,2800006866455;0;38,5;-18,7532449697519;0;0;0
7896112149064;30805;OMEPRAZOL;TEUTO - LABORATORIO TEUTO BRASILEIRO S/A;;ST;30049069;32,09;04;04;002;0;15;0;;17,5599994659424;0;13,8800001144409;26,5129634089322;0;0;0
