COD_BARRAS,PRODUTO_ID,NOMEORDER,FORNECEDOR,LOCALIZACAO,TRIBUTACAO,NCM,ALIQUOTA_NCM,CST_PIS,CST_COFINS,NATUREZA_RECEITA_PIS_COFINS,PADRAO_COMISSAO,DESCONTO_MAXIMO,QUANTIDADEORDER,TABELA,VENDA,PROMOCAO,VALOR_ULT_COMPRA,MARGEM,TOTAL_PRVENDA,TOTAL_PRPROMOCAO,TOTAL_PRCOMPRA,VALOR
7896261002999,6980,VISKEN 10MG COM CT 2 BL X 10,NOVARTIS,,ST,30049069,32.000009,4,4,201,0,10,0,,"60,52000046",0,"26,21999931","130,8161787",0,0,0,"60,52000046"
7896261002982,6981,VISKEN 5 MG COM CT 2 BL X 10,NOVARTIS,,ST,30049069,32.000009,4,4,201,0,10,0,,"33,93000031",0,"14,69999981","130,8163316",0,0,0,"33,93000031"
7896548112892,6982,VISLIN,ALCON,,ST,30049079,0,4,4,201,0,10,0,,"7,309999943",0,"5,739999771","27,35192046",0,0,0,"7,309999943"
7897316800355,6983,VISODIN FR C/24 ML,ALLERGAN,,ST,30049079,0,4,4,201,0,10,0,,"7,900000095",0,"5,940000057","32,99663332",0,0,0,"7,900000095"
7897316802571,6987,VISONEST 1 PCC SOL OCULAR CT C/FR X,ALLERGAN,,ST,30049039,0,4,4,201,0,10,0,,"9,289999962",0,"4,900000095","89,59183227",0,0,0,"9,289999962"
7897595600776,6989,VISUAL COLIRIO FR C/15 ML,HEXA FARMA,,ST,30049099,0,4,4,201,0,10,0,,"10,13000011",0,"6,829999924","48,31625516",0,0,0,"10,13000011"
7896261008779,30511,VISUDYNE,NOVARTIS,,ST,30049068,0,4,4,201,0,15,0,,"7618,279785",0,"5059,040039","50,58745782",0,0,0,"7618,279785"
7894164005994,43871,VIT E (AIRELA) (VIMINA E) 400 UI C/30 CAPS GELAT,AIRELA,,18.0%,21069030,0,1,1,,0,0,0,,"24.0,5",0,"9,640000343","154,1493685",0,0,0,"24.0,5"
7898049795543,43951,VIT PANTENOL (DEXPANTENOL) 50 MG/G POMADA BG 30 G,VITAPAN,,ST,30045090,0,4,4,201,3,10,0,"23.0,13","23,12999916","14,89999962","5,099999905","192,1568607",0,0,0,"14,89999962"
7898008490045,22183,VIT SMILAX 30ML,SOARES E TECLES,,18.0%,35051000,0,1,1,,0,0,0,,"14,09999943",0,"9,399999619",50,0,0,0,"14,09999943"
7898008490243,23951,VIT SMILAX 60ML,SOARES E TECLES,,18.0%,35051000,0,1,1,,0,0,0,,"29,79000092",0,"18,62000084","59,98925657",0,0,0,"29,79000092"
7898008492087,22184,VIT THOR 15000 6KG,SOARES E TECLES,,18.0%,35051000,0,1,1,,0,0,0,,"131,8800049",0,"87,91999817","50,00000868",0,0,0,"131,8800049"
7898008492070,22185,VIT THOR 15000 6KG,SOARES E TECLES,,18.0%,21061000,0,1,1,,0,0,0,,"131,8800049",0,"87,91999817","50,00000868",0,0,0,"131,8800049"
7898008492094,22186,VIT THOR 15000 6KG,SOARES E TECLES,,18.0%,21061000,0,1,1,,0,0,0,,"131,8800049",0,"87,91999817","50,00000868",0,0,0,"131,8800049"
7898214626801,14307,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626771,12721,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626764,14306,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214620908,14304,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626795,14305,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214620304,14303,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626825,25173,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626788,14753,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626832,25172,VIT. BARRO MINAS 120G,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7898214626818,14309,VIT. BARRO MINAS 120G POWER TRAT,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"7,28000021",0,"4,360000134","66,97247676",0,0,0,"7,28000021"
7897505575897,16805,VIT. EVO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"0,899999976",0,0.000001,"8899,999963",0,0,0,"0,899999976"
7897505575972,16806,VIT. EVO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"0,899999976",0,0.000001,"8899,999963",0,0,0,"0,899999976"
7898908282955,26363,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270186,26364,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270183,26365,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270182,26366,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270187,26367,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270185,26368,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7898903270179,26369,VIT. PLUMA E BRILHO 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,200000048",0,"0,699999988","71,42858116",0,0,0,"1,200000048"
7897487848040,25180,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965053,22694,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965121,22695,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965060,22697,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965077,22699,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
7898925965091,22700,VIT. PRO VITA 10ML,PERFUMARIA HIGIENE E LIMPEZA,,ST,33059000,0,4,4,202,0,5,0,,"1,149999976",0,"0,649999976","76,92307974",0,0,0,"1,149999976"
